EngSpeed,EngOilPress,EngCoolantTemp,EngFuelRate,BatteryPotential_PowerInput1,ActualEngPercentTorque,BarometricPress,EngPercentLoadAtCurrentSpeed,NominalFrictionPercentTorque,EngsDesiredOperatingSpeed,EngIntakeManifold1Temp,EngIntakeManifold1Press
1.301910444,0.667626336,0.119510008,0.749365284,0.167047513,0.930948283,1.896396686,0.466342035,0.03111935,0.418088944,0.123180455,2.032463535
-0.809449975,-0.747639757,-2.152900505,-0.807600718,0.167047513,-0.484980877,-0.780298003,-0.397178976,0.039589541,0.674585076,-1.038553998,-0.105060626
0.188158082,-0.758097389,0.876980179,-0.175466391,0.167047513,0.10790581,0.477618072,0.466342035,0.234403928,0.671494761,-0.225339881,0.209281162
-0.809425316,-0.877314385,0.119510008,-1.032870406,0.167047513,-0.6061155,-0.867250727,-0.828939482,0.513920222,0.691581807,-0.573860217,-0.105060626
-0.809425316,-0.782498528,-0.637960163,-0.880391944,0.167047513,-0.525359085,-0.693345279,-0.828939482,0.522390412,0.682310863,-0.922380553,-0.105060626
0.497136453,0.79172356,0.119510008,2.969114551,0.167047513,0.445063847,1.016724961,0.466342035,0.464793115,0.669949603,0.704047681,0.27214952
-0.808932134,-1.002108784,0.119510008,-1.242815625,0.167047513,-0.6061155,-1.070140416,0.03458153,0.302165453,0.686946335,-0.573860217,-0.105060626
-0.809573271,-0.817357299,0.876980179,-0.927897796,0.167047513,-0.581888576,-0.496252438,-1.260699987,-0.036642176,0.686946335,-2.084115006,-0.105060626
-0.809375998,-0.618662306,-2.910370676,-0.591525712,0.167047513,-0.25078727,-0.316550141,-0.828939482,-0.239926753,0.615869094,-2.664982232,-0.167928984
-0.808315657,-0.747639757,2.39192052,-0.810665612,0.167047513,-0.525359085,-0.606392555,-0.828939482,0.107351067,0.558698269,-2.664982232,-0.042192269
0.473932251,-0.323757105,-0.637960163,0.773884434,0.167047513,0.136843526,0.737027032,0.466342035,0.505450031,0.628230353,0.587874236,0.460754593
2.265365665,-0.211511863,0.876980179,1.380733388,0.167047513,0.673873692,2.552889752,0.03458153,0.344516407,0.682310863,-0.573860217,1.529516674
-0.809252702,-0.690471373,0.119510008,-0.74323795,0.167047513,-0.363846253,-0.2875659,-0.828939482,-0.604144954,0.679220548,-2.084115006,-0.105060626
-0.809622589,-0.795744861,0.876980179,-0.925599126,0.167047513,-0.545548188,-0.577408313,-0.828939482,-0.350039233,0.682310863,-1.038553998,-0.105060626
-0.809277362,-0.857793473,0.876980179,-0.983065883,0.167047513,-0.6061155,-0.838266486,-0.397178976,-0.307688279,0.662223816,0.007007009,-0.105060626
0.433466688,-0.102752498,0.119510008,1.191476202,0.167047513,0.547355307,0.639929823,-0.397178976,0.276754881,0.637501298,-0.109166436,0.146412804
