EngSpeed,EngOilPress,EngCoolantTemp,EngFuelRate,BatteryPotential_PowerInput1,ActualEngPercentTorque,BarometricPress,EngPercentLoadAtCurrentSpeed,NominalFrictionPercentTorque,EngsDesiredOperatingSpeed,EngIntakeManifold1Temp,EngIntakeManifold1Press
-0.065041431,0.370629609,2.39192052,-0.730212152,-1.828135515,-0.067739394,0.697898306,0.03458153,0.546106946,0.702397909,0.587874236,-1.676769569
-0.092634951,1.322971227,2.39192052,0.445174584,-1.828135515,-0.067739394,0.466024375,2.193384057,1.23727451,0.694672122,1.168741463,-1.36242778
-0.070614385,0.001823814,0.876980179,-1.192244878,-1.828135515,-0.067739394,1.103677685,-1.260699987,0.225933737,0.702397909,0.355527345,-2.053979715
-0.069603363,-0.212209038,1.634450349,-1.173089293,-1.828135515,-0.067739394,1.161646168,-3.85126302,0.225933737,0.725575271,0.123180455,-1.865374642
-0.073548817,0.967411765,-0.637960163,0.248255163,-1.828135515,-0.067739394,0.832675028,-1.692460493,1.154266641,0.609688464,0.936394572,-1.11095435
-0.085409838,0.999481834,1.634450349,0.151711012,-1.828135515,-0.067739394,0.871803754,-2.124220998,1.293177769,0.702397909,1.052568017,-1.11095435
1.409202135,2.815623792,0.876980179,3.271006581,1.164639027,1.547388924,1.625394029,-0.828939482,4.462723139,0.702397909,1.749608689,1.026569812
0.947041511,0.624401461,1.634450349,0.206112875,0.167047513,1.063173454,2.263047339,-3.419502515,1.540507338,0.6483174,-0.225339881,-1.425296138
-0.069652681,0.222828421,0.876980179,-0.943222265,-1.828135515,-0.067739394,1.00223284,-2.987742009,0.403807742,0.705488224,1.284914908,-1.991111357
1.409843271,2.247425828,1.634450349,2.24426719,1.164639027,1.547388924,1.567425546,-1.692460493,3.680077516,0.694672122,1.633435244,0.52362295
-0.080034157,1.519574694,0.876980179,1.111788965,-1.828135515,-0.067739394,0.755866789,-0.397178976,1.672642313,0.694672122,0.704047681,-0.82804674
-0.070614385,-0.411601207,-2.152900505,-1.479578663,-1.828135515,-0.067739394,1.393520098,-4.714784031,0.020955121,0.725575271,-1.154727444,-1.928243
-0.069356772,-0.030246255,0.876980179,-1.326333978,-1.828135515,-0.067739394,0.890643511,-0.397178976,0.166642402,0.702397909,0.2393539,-2.17971643
0.833165843,0.361566329,0.876980179,-0.958546733,0.167047513,0.906398332,1.480472822,0.466342035,0.895078804,0.628230353,1.052568017,-1.456730317
1.400867363,2.363854123,-1.395430334,2.370694055,1.164639027,1.547388924,1.335551616,-1.260699987,3.603845799,0.620504566,1.052568017,0.963701454
